nombre_completo,usuario_gestor_1,Servicio,coordinador,jefe_inmediato,estado,rango_antiguedad
ACEVEDO MEDINA CAROLINA DIEGO,9011049,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>120 y <=180
ACEVEDO NAVARRO SOFIA HUGO,9008112,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Activo,>120 y <=180
AGUIRRE DELGADO ANDRES FABIAN,9002534,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,MONTOYA FIGUEROA XIMENA RAMIRO,Activo,>360
AGUIRRE ESCOBAR OSCAR IGNACIO,9001167,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
AGUIRRE FIGUEROA GABRIELA NICOLAS,9004667,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,MONTOYA FIGUEROA XIMENA RAMIRO,Activo,>360
AGUIRRE GALLEGO ANDRES RAMIRO,9007276,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,SALGADO DELGADO HUGO HUGO,Activo,>180 y <=360
AGUIRRE GUERRERO OSCAR XAVIER,9003740,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
AGUIRRE HERRERA GABRIELA DANIELA,9006995,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,MEDINA JIMENEZ XAVIER NATALIA,Retiro,>180 y <=360
AGUIRRE IBARRA ANDRES GABRIELA,9005481,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>360
AGUIRRE JIMENEZ OSCAR LUCIA,9008468,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,ESCOBAR DELGADO CAMILO FABIAN,Retiro,>30 y <=60
AGUIRRE LEIVA GABRIELA PAULA,9003496,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Retiro,>360
AGUIRRE MALDONADO ANDRES TAMARA,9003380,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,MONTOYA FIGUEROA XIMENA RAMIRO,Activo,>360
AGUIRRE MEDINA OSCAR BRUNO,9008133,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>120 y <=180
AGUIRRE NAVARRO GABRIELA FABIAN,9007016,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Retiro,>180 y <=360
ARIAS DELGADO ANDRES FABIAN,9000103,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
ARIAS ESCOBAR OSCAR IGNACIO,9012260,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>360
ARIAS FIGUEROA HELENA NICOLAS,9002661,AG CORPORATE CHAT,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
ARIAS GALLEGO ANDRES SANTIAGO,9002333,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>360
ARIAS GUERRERO OSCAR XAVIER,9007504,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>180 y <=360
ARIAS HERRERA HELENA DANIELA,,CARGO BOOKING,GALLEGO FIGUEROA LUCIA OSCAR,GRANADOS ESCOBAR ELENA MATEO,Activo,>360
ARIAS IBARRA ANDRES GABRIELA,9004854,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>360
ARIAS JIMENEZ OSCAR LUCIA,9000639,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
ARIAS LEIVA HELENA PAULA,9004785,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>360
ARIAS NAVARRO HELENA FABIAN,,DT FFP AMC ING,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
ARIAS OCAMPO ANDRES IGNACIO,9001209,SPEECH,HOYOS MALDONADO MATEO ANDRES,ARIAS MALDONADO ANDRES TAMARA,Activo,>360
BENITEZ DELGADO ANDRES FABIAN,9001855,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,MEDINA JIMENEZ XAVIER NATALIA,Retiro,>360
BENITEZ ESCOBAR PABLO IGNACIO,9003892,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,MEDINA JIMENEZ XAVIER NATALIA,Retiro,>360
BENITEZ FIGUEROA HELENA NICOLAS,9006326,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,MEDINA JIMENEZ XAVIER NATALIA,Retiro,>180 y <=360
BENITEZ GALLEGO ANDRES SANTIAGO,9003260,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>360
BENITEZ GUERRERO PABLO XAVIER,9002187,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
BENITEZ HERRERA HELENA DANIELA,9005884,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>180 y <=360
BENITEZ IBARRA ANDRES HELENA,9000458,AG CELULA REMISION,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
BENITEZ JIMENEZ PABLO LUCIA,9011442,BO HVC AMC PORTUGUES,HOYOS MALDONADO MATEO ANDRES,ARIAS MALDONADO ANDRES TAMARA,Retiro,>360
BENITEZ LEIVA HELENA PAULA,9018800,WPP VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>120 y <=180
BENITEZ MALDONADO ANDRES TAMARA,9003698,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
BENITEZ MEDINA PABLO BRUNO,9006204,AG CORPORATE CHAT,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>180 y <=360
BENITEZ NAVARRO HELENA FABIAN,9011098,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>120 y <=180
BENITEZ OCAMPO ANDRES IGNACIO,9007828,BO LUA AMC,FUENTES MEDINA ELENA EMILIO,GUERRERO OCAMPO DIEGO JULIAN,Retiro,>120 y <=180
BOLIVAR DELGADO JULIAN HUGO,9004056,AG CELULA REMISION,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
BOLIVAR ESCOBAR DANIELA MATEO,9003782,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
BOLIVAR FIGUEROA SOFIA PABLO,9001399,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,HOYOS LEIVA VALERIA TAMARA,Activo,>360
BOLIVAR GALLEGO JULIAN VALENTIN,9001754,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,MALDONADO JIMENEZ VALENTIN MARIANA,Activo,>360
BOLIVAR GUERRERO DANIELA CAROLINA,9007160,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>180 y <=360
BOLIVAR HERRERA SOFIA FLORENCIA,9002783,AG CHECK IN,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
BOLIVAR IBARRA JULIAN JULIETA,9018912,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>120 y <=180
BOLIVAR JIMENEZ DANIELA OLIVIA,9004818,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,FIGUEROA OCAMPO DIEGO JULIAN,Activo,>360
BOLIVAR LEIVA SOFIA SOFIA,9003179,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
BOLIVAR MALDONADO JULIAN ANDRES,9001056,RRSS PORT AMC,TAMAYO DELGADO IGNACIO HUGO,ARIAS MEDINA OSCAR BRUNO,Activo,>360
BOLIVAR MEDINA DANIELA EMILIO,9005339,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,CARDENAS MEDINA PABLO BRUNO,Activo,>360
BOLIVAR NAVARRO SOFIA HUGO,9006300,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,CAMACHO LEIVA SOFIA SOFIA,Activo,>180 y <=360
CABRERA DELGADO BRUNO FABIAN,9005521,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,LEIVA LEIVA MARIANA RENATA,Activo,>360
CABRERA ESCOBAR PABLO IGNACIO,9006104,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>180 y <=360
CABRERA FIGUEROA HELENA NICOLAS,9001964,BO HVC AMC PORTUGUES,TAMAYO DELGADO IGNACIO HUGO,MEDINA JIMENEZ XAVIER NATALIA,Retiro,>360
CABRERA GALLEGO BRUNO SANTIAGO,9004688,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
CABRERA GUERRERO PABLO XAVIER,9005269,AGENCIAS TARGET ES,LEIVA FIGUEROA MARIANA OSCAR,LEIVA LEIVA MARIANA RENATA,Activo,>360
CABRERA HERRERA HELENA DANIELA,,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
CABRERA IBARRA BRUNO HELENA,9007402,RRSS PORT AMC,TAMAYO DELGADO IGNACIO HUGO,ARIAS MEDINA OSCAR BRUNO,Activo,>180 y <=360
CABRERA JIMENEZ PABLO LUCIA,9003719,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
CABRERA LEIVA HELENA PAULA,9005581,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
CABRERA MALDONADO BRUNO VALERIA,9005300,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,PALACIOS MEDINA ADRIANA DIEGO,Activo,>360
CABRERA MEDINA PABLO BRUNO,9002957,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,ESCOBAR NAVARRO JULIETA FABIAN,Activo,>360
CAMACHO DELGADO LEANDRO HUGO,9003566,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,ARIAS MEDINA OSCAR BRUNO,Retiro,>360
CAMACHO ESCOBAR DANIELA MATEO,9006144,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>180 y <=360
CAMACHO FIGUEROA SOFIA RAMIRO,9000618,LATAM TRAVEL AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Retiro,>360
CAMACHO GALLEGO LEANDRO VALENTIN,9002825,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,MALDONADO JIMENEZ VALENTIN MARIANA,Activo,>360
CAMACHO GUERRERO DANIELA CAROLINA,9011056,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>120 y <=180
CAMACHO HERRERA SOFIA FLORENCIA,9019148,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>120 y <=180
CAMACHO IBARRA LEANDRO JULIETA,,CARGO BOOKING,GALLEGO FIGUEROA LUCIA OSCAR,GRANADOS ESCOBAR ELENA MATEO,Activo,>360
CAMACHO JIMENEZ DANIELA OLIVIA,9000318,LATAM TRAVEL AMC,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Activo,>360
CAMACHO MALDONADO LEANDRO ANDRES,9008454,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,ESCOBAR DELGADO CAMILO FABIAN,Retiro,>30 y <=60
CAMACHO MEDINA DANIELA EMILIO,9003280,AG CHECK IN,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
CAMACHO NAVARRO SOFIA HUGO,9006164,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>180 y <=360
CARDENAS DELGADO BRUNO FABIAN,9005652,EQUIPAJES AMC ING,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>360
CARDENAS ESCOBAR PABLO JULIAN,9001320,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
CARDENAS FIGUEROA ISABEL NICOLAS,9007114,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>180 y <=360
CARDENAS GALLEGO BRUNO SANTIAGO,9008569,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>60 y <=90
CARDENAS GUERRERO PABLO XAVIER,9001700,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
CARDENAS HERRERA ISABEL DANIELA,9006011,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>180 y <=360
CARDENAS IBARRA BRUNO HELENA,9002241,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,FIGUEROA OCAMPO DIEGO JULIAN,Activo,>360
CARDENAS JIMENEZ PABLO LUCIA,9006896,CHAT HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Retiro,>120 y <=180
CARDENAS LEIVA ISABEL PAULA,9015581,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
CARDENAS MALDONADO BRUNO VALERIA,9018091,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>180 y <=360
CARDENAS NAVARRO ISABEL FABIAN,9002552,AG CELULA REMISION,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
CARDENAS OCAMPO BRUNO JULIAN,9018842,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>120 y <=180
CASTILLO ESCOBAR RAMIRO JULIAN,9001614,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
CASTILLO FIGUEROA ISABEL NICOLAS,9008475,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,SALGADO DELGADO HUGO HUGO,Retiro,>30 y <=60
CASTILLO GUERRERO RAMIRO ADRIANA,9004893,AGENCIAS TARGET ENG,LEIVA FIGUEROA MARIANA OSCAR,URIBE MALDONADO IGNACIO ANDRES,Activo,>360
CASTILLO HERRERA ISABEL DANIELA,9018545,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>180 y <=360
CASTILLO IBARRA BRUNO HELENA,9001420,BO_CUS_COL,FUENTES MEDINA ELENA EMILIO,CASTILLO DELGADO BRUNO FABIAN,Activo,>360
CASTILLO JIMENEZ RAMIRO LUCIA,9006867,CORPORATE PYME,LEIVA FIGUEROA MARIANA OSCAR,VALENCIA HERRERA RENATA FLORENCIA,Activo,>180 y <=360
CASTILLO LEIVA ISABEL PAULA,9013418,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,OCAMPO MEDINA XAVIER DIEGO,Activo,>360
CASTILLO MALDONADO BRUNO VALERIA,9007023,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,SALGADO DELGADO HUGO HUGO,Retiro,>120 y <=180
CASTILLO MEDINA RAMIRO BRUNO,9008405,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,MONTOYA FIGUEROA XIMENA RAMIRO,Activo,>120 y <=180
CASTILLO NAVARRO ISABEL FABIAN,9004061,AG CELULA REMISION,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Retiro,>360
CASTILLO OCAMPO BRUNO JULIAN,9004982,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
CORDERO DELGADO CAMILO FABIAN,9001441,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
CORDERO ESCOBAR RAMIRO JULIAN,9000440,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,ESCOBAR NAVARRO JULIETA FABIAN,Activo,>360
CORDERO FIGUEROA ISABEL NICOLAS,9005934,AG CHECK IN,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>180 y <=360
CORDERO GALLEGO CAMILO SANTIAGO,9002313,AG CHECK IN,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Activo,>360
CORDERO GUERRERO RAMIRO ADRIANA,,LUA AMC,DUARTE NAVARRO TAMARA HUGO,DUARTE NAVARRO TAMARA HUGO,Retiro,>360
CORDERO HERRERA ISABEL DANIELA,9017442,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>180 y <=360
CORDERO IBARRA CAMILO HELENA,9006407,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>180 y <=360
CORDERO JIMENEZ RAMIRO MARIANA,9000203,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
CORDERO LEIVA ISABEL PAULA,9005749,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>180 y <=360
CORDERO MALDONADO CAMILO VALERIA,9002694,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,MALDONADO JIMENEZ VALENTIN MARIANA,Retiro,>360
CORDERO MEDINA RAMIRO BRUNO,9002905,SPEECH,HOYOS MALDONADO MATEO ANDRES,ARIAS MALDONADO ANDRES TAMARA,Activo,>360
CORDERO NAVARRO ISABEL FABIAN,9000695,LATAM TRAVEL AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Retiro,>360
CORDERO OCAMPO CAMILO JULIAN,9000801,SPEECH,HOYOS MEDINA FLORENCIA EMILIO,ARIAS MALDONADO ANDRES TAMARA,Retiro,>360
DELGADO DELGADO CAMILO FABIAN,9003030,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
DELGADO ESCOBAR RAMIRO JULIAN,9002208,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,MALDONADO JIMENEZ VALENTIN MARIANA,Activo,>360
DELGADO FIGUEROA JULIETA NICOLAS,9014590,SPEECH,HOYOS MALDONADO MATEO ANDRES,ARIAS MALDONADO ANDRES TAMARA,Activo,>360
DELGADO GALLEGO CAMILO SANTIAGO,9000276,BO ANTIFRAUDE AMC,TAMAYO DELGADO IGNACIO HUGO,CABRERA NAVARRO HELENA FABIAN,Activo,>360
DELGADO GUERRERO RAMIRO ADRIANA,9000297,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,PALACIOS MEDINA ADRIANA DIEGO,Activo,>360
DELGADO HERRERA JULIETA DANIELA,9006240,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>180 y <=360
DELGADO IBARRA CAMILO HELENA,9005560,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
DELGADO LEIVA JULIETA PAULA,9006617,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>180 y <=360
DELGADO MALDONADO CAMILO VALERIA,9004560,BO AGENCIAS TARGET,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>360
DELGADO MEDINA RAMIRO CAMILO,9002354,SOPORTE LUA AMC,TAMAYO IBARRA IGNACIO JULIETA,JARAMILLO NAVARRO XIMENA IGNACIO,Activo,>360
DELGADO NAVARRO JULIETA FABIAN,9012234,CHAT VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,IRIARTE NAVARRO VALERIA IGNACIO,Activo,>360
DUARTE DELGADO LEANDRO HUGO,9002455,RRSS AMC,TAMAYO DELGADO IGNACIO HUGO,ARIAS MEDINA OSCAR BRUNO,Activo,>360
DUARTE ESCOBAR DANIELA MATEO,9001072,RRSS PORT AMC,DELGADO JIMENEZ RAMIRO MARIANA,ARIAS MEDINA OSCAR BRUNO,Retiro,>360
DUARTE FIGUEROA TAMARA RAMIRO,9008175,WPP LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,MALDONADO IBARRA FABIAN ISABEL,Activo,>120 y <=180
DUARTE GALLEGO LEANDRO VALENTIN,9002736,HVC AMC,GRANADOS JIMENEZ ELENA OLIVIA,FIGUEROA OCAMPO DIEGO JULIAN,Activo,>360
DUARTE GUERRERO DANIELA CAROLINA,9000681,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
DUARTE HERRERA TAMARA GABRIELA,9014204,VENTAS AMC,TAMAYO IBARRA IGNACIO JULIETA,GRANADOS FIGUEROA VALERIA RAMIRO,Activo,>360
DUARTE IBARRA LEANDRO JULIETA,9004540,AG CELULA REMISION,LEIVA FIGUEROA MARIANA OSCAR,NAVARRO JIMENEZ XAVIER NATALIA,Activo,>360
DUARTE JIMENEZ DANIELA OLIVIA,9007859,LUA AMC,GALLEGO FIGUEROA LUCIA OSCAR,CARDENAS MEDINA PABLO BRUNO,Activo,>120 y <=180
DUARTE LEIVA TAMARA SOFIA,9007567,BO EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,CABRERA HERRERA HELENA DANIELA,Activo,>180 y <=360
DUARTE MALDONADO LEANDRO ANDRES,,LUA AMC,DUARTE NAVARRO TAMARA HUGO,CASTILLO GALLEGO BRUNO SANTIAGO,Retiro,>360
DUARTE MEDINA DANIELA EMILIO,9006890,CHAT LUA AMC,IBARRA ESCOBAR TOMAS JULIAN,SALGADO DELGADO HUGO HUGO,Retiro,>120 y <=180
ESCOBAR ESCOBAR SANTIAGO JULIAN,9006705,WPP HVC PORT AMC,TAMAYO DELGADO IGNACIO HUGO,JIMENEZ GALLEGO EMILIO TOMAS,Retiro,>180 y <=360
ESCOBAR FIGUEROA JULIETA OSCAR,9008384,LUA AMC ING,GALLEGO FIGUEROA LUCIA OSCAR,DELGADO OCAMPO CAMILO JULIAN,Activo,>120 y <=180
ESCOBAR GALLEGO CAMILO SANTIAGO,9006260,CHAT AGENCIAS ESP,LEIVA FIGUEROA MARIANA OSCAR,GRANADOS HERRERA VALERIA GABRIELA,Activo,>180 y <=360
ESCOBAR GUERRERO SANTIAGO ADRIANA,9004875,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>360
ESCOBAR HERRERA JULIETA DANIELA,9007887,CHAT LUA AMC,DUARTE NAVARRO TAMARA HUGO,ESCOBAR DELGADO CAMILO FABIAN,Retiro,>30 y <=60
ESCOBAR IBARRA CAMILO HELENA,9006638,WPP EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,LEIVA NAVARRO MARIANA GABRIEL,Activo,>180 y <=360
ESCOBAR JIMENEZ SANTIAGO MARIANA,,EQUIPAJES AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Retiro,>360
ESCOBAR LEIVA JULIETA PAULA,9000583,BO_WAIVERS,HOYOS MEDINA FLORENCIA EMILIO,GUERRERO MALDONADO DIEGO VALERIA,Activo,>360
ESCOBAR MEDINA SANTIAGO CAMILO,9005952,AG CORPORATE CHAT,LEIVA FIGUEROA MARIANA OSCAR,MALDONADO DELGADO FABIAN GABRIEL,Retiro,>180 y <=360
ESCOBAR NAVARRO JULIETA FABIAN,,RRSS PORT AMC,AGUIRRE OCAMPO ANDRES IGNACIO,TAMAYO DELGADO IGNACIO HUGO,Activo,>360
ESCOBAR OCAMPO CAMILO JULIAN,9005423,DT FFP AMC,FUENTES MEDINA ELENA EMILIO,FUENTES MEDINA ELENA EMILIO,Activo,>360
